time,n_bulks,n_features,method
0.03043651580810547,1000,500,sc
3.8219008445739746,1000,500,esda
0.05221199989318848,1000,1000,sc
7.6499714851379395,1000,1000,esda
0.052184104919433594,1000,1000,sc
7.6147730350494385,1000,1000,esda
0.05086851119995117,1000,1000,sc
7.648033142089844,1000,1000,esda
0.050901174545288086,1000,1000,sc
7.636734247207642,1000,1000,esda
0.05294990539550781,1000,1000,sc
7.621068716049194,1000,1000,esda
0.05313420295715332,1000,1000,sc
7.629053592681885,1000,1000,esda
0.05296969413757324,1000,1000,sc
7.7084126472473145,1000,1000,esda
0.05274176597595215,1000,1000,sc
7.636096000671387,1000,1000,esda
0.09735870361328125,1000,2000,sc
15.246218204498291,1000,2000,esda
0.0963444709777832,1000,2000,sc
15.25288438796997,1000,2000,esda
0.09769415855407715,1000,2000,sc
15.546826124191284,1000,2000,esda
0.09991979598999023,1000,2000,sc
15.534891366958618,1000,2000,esda
0.09776878356933594,1000,2000,sc
15.509972333908081,1000,2000,esda
0.09785294532775879,1000,2000,sc
15.44337272644043,1000,2000,esda
0.09996843338012695,1000,2000,sc
15.604042768478394,1000,2000,esda
0.09792518615722656,1000,2000,sc
15.711318731307983,1000,2000,esda
0.24357175827026367,1000,5000,sc
38.729132890701294,1000,5000,esda
0.247938871383667,1000,5000,sc
38.788825273513794,1000,5000,esda
0.24402785301208496,1000,5000,sc
38.929739475250244,1000,5000,esda
0.24355220794677734,1000,5000,sc
38.91881322860718,1000,5000,esda
0.24205660820007324,1000,5000,sc
38.87254095077515,1000,5000,esda
0.24350905418395996,1000,5000,sc
38.95852828025818,1000,5000,esda
0.2422640323638916,1000,5000,sc
39.312955379486084,1000,5000,esda
0.24261474609375,1000,5000,sc
38.83218169212341,1000,5000,esda
0.5166881084442139,1000,10000,sc
78.0572943687439,1000,10000,esda
0.5425000190734863,1000,10000,sc
77.84809279441833,1000,10000,esda
0.5408728122711182,1000,10000,sc
77.90107250213623,1000,10000,esda
0.5622661113739014,1000,10000,sc
78.75701403617859,1000,10000,esda
0.5614907741546631,1000,10000,sc
77.50552773475647,1000,10000,esda
0.5694844722747803,1000,10000,sc
77.3883581161499,1000,10000,esda
0.4933764934539795,1000,10000,sc
77.77810454368591,1000,10000,esda
0.4902310371398926,1000,10000,sc
78.58668160438538,1000,10000,esda
0.03220367431640625,2000,1,sc
0.03184819221496582,2000,1,esda
0.03217959403991699,2000,1,sc
0.031192541122436523,2000,1,esda
0.03214764595031738,2000,1,sc
0.0315556526184082,2000,1,esda
0.03238940238952637,2000,1,sc
0.030946016311645508,2000,1,esda
0.03238391876220703,2000,1,sc
0.030231475830078125,2000,1,esda
0.033600807189941406,2000,1,sc
0.030356645584106445,2000,1,esda
0.03252148628234863,2000,1,sc
0.030336856842041016,2000,1,esda
0.0328211784362793,2000,1,sc
0.030712127685546875,2000,1,esda
0.03449559211730957,2000,10,sc
0.2938220500946045,2000,10,esda
0.03376579284667969,2000,10,sc
0.29407811164855957,2000,10,esda
0.03475594520568848,2000,10,sc
0.2907741069793701,2000,10,esda
0.032816410064697266,2000,10,sc
0.29364728927612305,2000,10,esda
0.031913042068481445,2000,10,sc
0.2910494804382324,2000,10,esda
0.03290534019470215,2000,10,sc
0.29180145263671875,2000,10,esda
0.03303718566894531,2000,10,sc
0.2939035892486572,2000,10,esda
0.03398919105529785,2000,10,sc
0.2927982807159424,2000,10,esda
0.04079270362854004,2000,100,sc
2.8912954330444336,2000,100,esda
0.04060626029968262,2000,100,sc
2.8897454738616943,2000,100,esda
0.03979206085205078,2000,100,sc
2.8949897289276123,2000,100,esda
0.03971600532531738,2000,100,sc
2.888293504714966,2000,100,esda
0.03967642784118652,2000,100,sc
2.899012565612793,2000,100,esda
0.03977203369140625,2000,100,sc
2.8863675594329834,2000,100,esda
0.04031562805175781,2000,100,sc
2.895815849304199,2000,100,esda
0.040029048919677734,2000,100,sc
2.8760032653808594,2000,100,esda
0.07509565353393555,2000,500,sc
14.380398035049438,2000,500,esda
0.0729215145111084,2000,500,sc
14.481445550918579,2000,500,esda
0.07285594940185547,2000,500,sc
14.430779933929443,2000,500,esda
0.07310914993286133,2000,500,sc
14.456326484680176,2000,500,esda
0.07288575172424316,2000,500,sc
14.391026735305786,2000,500,esda
0.07211041450500488,2000,500,sc
14.489232778549194,2000,500,esda
0.07277488708496094,2000,500,sc
14.442681074142456,2000,500,esda
0.07267522811889648,2000,500,sc
14.528030395507812,2000,500,esda
0.11928629875183105,2000,1000,sc
28.9433376789093,2000,1000,esda
0.12289786338806152,2000,1000,sc
28.87510848045349,2000,1000,esda
0.12298417091369629,2000,1000,sc
29.123711109161377,2000,1000,esda
0.12239956855773926,2000,1000,sc
28.796304941177368,2000,1000,esda
0.11756277084350586,2000,1000,sc
28.57655358314514,2000,1000,esda
0.11796188354492188,2000,1000,sc
28.493410110473633,2000,1000,esda
0.11666631698608398,2000,1000,sc
28.361473083496094,2000,1000,esda
0.1173696517944336,2000,1000,sc
28.601067781448364,2000,1000,esda
0.20434284210205078,2000,2000,sc
57.0464551448822,2000,2000,esda
0.20954084396362305,2000,2000,sc
57.346887826919556,2000,2000,esda
0.22209882736206055,2000,2000,sc
57.3991813659668,2000,2000,esda
0.21560382843017578,2000,2000,sc
57.184794902801514,2000,2000,esda
0.2191307544708252,2000,2000,sc
56.60522937774658,2000,2000,esda
0.21759867668151855,2000,2000,sc
56.740626096725464,2000,2000,esda
0.20398473739624023,2000,2000,sc
56.90915012359619,2000,2000,esda
0.20176911354064941,2000,2000,sc
56.93160343170166,2000,2000,esda
0.5557827949523926,2000,5000,sc
143.08365297317505,2000,5000,esda
0.5666847229003906,2000,5000,sc
143.53191375732422,2000,5000,esda
0.5885276794433594,2000,5000,sc
145.8101363182068,2000,5000,esda
0.601560115814209,2000,5000,sc
145.80815267562866,2000,5000,esda
0.6003079414367676,2000,5000,sc
145.4047713279724,2000,5000,esda
0.6013495922088623,2000,5000,sc
145.1340684890747,2000,5000,esda
0.6126964092254639,2000,5000,sc
145.67543697357178,2000,5000,esda
0.6093080043792725,2000,5000,sc
144.93073844909668,2000,5000,esda
1.208831787109375,2000,10000,sc
291.2282500267029,2000,10000,esda
1.2186310291290283,2000,10000,sc
291.0205907821655,2000,10000,esda
1.205005407333374,2000,10000,sc
291.4891905784607,2000,10000,esda
1.2075364589691162,2000,10000,sc
291.22667598724365,2000,10000,esda
1.205674648284912,2000,10000,sc
292.83385491371155,2000,10000,esda
1.2087914943695068,2000,10000,sc
291.6881206035614,2000,10000,esda
1.206139326095581,2000,10000,sc
291.9401960372925,2000,10000,esda
1.1989622116088867,2000,10000,sc
289.84416794776917,2000,10000,esda
0.24964237213134766,5000,1,sc
0.24628162384033203,5000,1,esda
0.2503964900970459,5000,1,sc
0.2477879524230957,5000,1,esda
0.2489004135131836,5000,1,sc
0.2454540729522705,5000,1,esda
0.2478783130645752,5000,1,sc
0.24599862098693848,5000,1,esda
0.24771428108215332,5000,1,sc
0.24587082862854004,5000,1,esda
0.2489643096923828,5000,1,sc
0.24973487854003906,5000,1,esda
0.2497119903564453,5000,1,sc
0.2503499984741211,5000,1,esda
0.24715065956115723,5000,1,sc
0.2465813159942627,5000,1,esda
0.2536962032318115,5000,10,sc
2.0011508464813232,5000,10,esda
0.2504563331604004,5000,10,sc
2.010683536529541,5000,10,esda
0.250626802444458,5000,10,sc
2.0018656253814697,5000,10,esda
0.2511305809020996,5000,10,sc
1.9977095127105713,5000,10,esda
0.2518184185028076,5000,10,sc
2.023529291152954,5000,10,esda
0.24885058403015137,5000,10,sc
2.0064573287963867,5000,10,esda
0.25116658210754395,5000,10,sc
1.9916393756866455,5000,10,esda
0.25310182571411133,5000,10,sc
1.9826922416687012,5000,10,esda
0.2715451717376709,5000,100,sc
19.210171937942505,5000,100,esda
0.2696528434753418,5000,100,sc
19.275490760803223,5000,100,esda
0.26935577392578125,5000,100,sc
19.293453454971313,5000,100,esda
0.26985883712768555,5000,100,sc
19.359761476516724,5000,100,esda
0.2679915428161621,5000,100,sc
19.33648943901062,5000,100,esda
0.2718791961669922,5000,100,sc
19.36947774887085,5000,100,esda
0.2694070339202881,5000,100,sc
19.358546495437622,5000,100,esda
0.27028775215148926,5000,100,sc
19.30702495574951,5000,100,esda
0.3711075782775879,5000,500,sc
96.56845426559448,5000,500,esda
0.3686192035675049,5000,500,sc
96.62280130386353,5000,500,esda
0.379880428314209,5000,500,sc
96.8730149269104,5000,500,esda
0.3782691955566406,5000,500,sc
96.68169903755188,5000,500,esda
0.3739492893218994,5000,500,sc
96.8204984664917,5000,500,esda
0.38213467597961426,5000,500,sc
96.94160795211792,5000,500,esda
0.3762638568878174,5000,500,sc
96.73902726173401,5000,500,esda
0.373607873916626,5000,500,sc
96.86118483543396,5000,500,esda
0.5084037780761719,5000,1000,sc
194.2140998840332,5000,1000,esda
0.5041215419769287,5000,1000,sc
193.60854721069336,5000,1000,esda
0.505988597869873,5000,1000,sc
193.9803421497345,5000,1000,esda
0.5186901092529297,5000,1000,sc
193.97888159751892,5000,1000,esda
0.5154116153717041,5000,1000,sc
194.69879412651062,5000,1000,esda
0.5223710536956787,5000,1000,sc
194.41736435890198,5000,1000,esda
0.5549111366271973,5000,1000,sc
194.60617089271545,5000,1000,esda
0.5654847621917725,5000,1000,sc
193.91077709197998,5000,1000,esda
0.932572603225708,5000,2000,sc
388.262619972229,5000,2000,esda
0.9537043571472168,5000,2000,sc
389.06296706199646,5000,2000,esda
0.9586646556854248,5000,2000,sc
389.81778836250305,5000,2000,esda
0.9388821125030518,5000,2000,sc
390.30237650871277,5000,2000,esda
0.9353556632995605,5000,2000,sc
436.6714277267456,5000,2000,esda
1.0670533180236816,5000,2000,sc
395.70688247680664,5000,2000,esda
0.9554131031036377,5000,2000,sc
392.7272605895996,5000,2000,esda
0.9498143196105957,5000,2000,sc
387.95181369781494,5000,2000,esda
2.004387617111206,5000,5000,sc
972.6230421066284,5000,5000,esda
2.024299383163452,5000,5000,sc
1047.1958968639374,5000,5000,esda
2.0330965518951416,5000,5000,sc
979.5564317703247,5000,5000,esda
2.1104767322540283,5000,5000,sc
975.620373249054,5000,5000,esda
2.15813946723938,5000,5000,sc
973.7515687942505,5000,5000,esda
2.437511682510376,5000,5000,sc
976.9461233615875,5000,5000,esda
2.026235342025757,5000,5000,sc
977.8662931919098,5000,5000,esda
2.0222342014312744,5000,5000,sc
986.3528196811676,5000,5000,esda
3.7131307125091553,5000,10000,sc
1944.168963432312,5000,10000,esda
3.74141263961792,5000,10000,sc
1949.2980573177338,5000,10000,esda
3.793250560760498,5000,10000,sc
1933.0401055812836,5000,10000,esda
3.811304807662964,5000,10000,sc
1942.456225156784,5000,10000,esda
3.7890937328338623,5000,10000,sc
1925.5534708499908,5000,10000,esda
3.748072624206543,5000,10000,sc
1963.0219445228577,5000,10000,esda
3.792956829071045,5000,10000,sc
1946.3052296638489,5000,10000,esda
3.89442777633667,5000,10000,sc
1966.7746636867523,5000,10000,esda
