time,n_bulks,n_features,method
47.51347208023071,5000,100,esda
0.5493671894073486,5000,100,sc
45.643352031707764,5000,100,esda
0.6095390319824219,5000,500,sc
229.6645028591156,5000,500,esda
0.6273553371429443,5000,500,sc
232.0283796787262,5000,500,esda
0.6393051147460938,5000,500,sc
232.12327003479004,5000,500,esda
0.6232008934020996,5000,500,sc
230.98463988304138,5000,500,esda
0.6253511905670166,5000,500,sc
229.86686420440674,5000,500,esda
0.6221063137054443,5000,500,sc
231.2252321243286,5000,500,esda
0.6240801811218262,5000,500,sc
230.24689888954163,5000,500,esda
0.6422834396362305,5000,500,sc
232.4751057624817,5000,500,esda
0.7523043155670166,5000,1000,sc
527.8288578987122,5000,1000,esda
0.931481122970581,5000,1000,sc
472.2433934211731,5000,1000,esda
0.7510280609130859,5000,1000,sc
466.8127021789551,5000,1000,esda
0.7583773136138916,5000,1000,sc
470.2898259162903,5000,1000,esda
0.7616076469421387,5000,1000,sc
483.7405536174774,5000,1000,esda
0.7535905838012695,5000,1000,sc
466.4406056404114,5000,1000,esda
0.830211877822876,5000,1000,sc
472.61116456985474,5000,1000,esda
0.7660086154937744,5000,1000,sc
470.7043671607971,5000,1000,esda
1.0942490100860596,5000,2000,sc
950.4462645053864,5000,2000,esda
1.0304450988769531,5000,2000,sc
939.7247653007507,5000,2000,esda
1.0404033660888672,5000,2000,sc
934.5620410442352,5000,2000,esda
1.0391271114349365,5000,2000,sc
923.590535402298,5000,2000,esda
1.0134832859039307,5000,2000,sc
923.8851208686829,5000,2000,esda
1.0496165752410889,5000,2000,sc
923.75865483284,5000,2000,esda
1.026515245437622,5000,2000,sc
915.4192636013031,5000,2000,esda
1.031407117843628,5000,2000,sc
921.0298306941986,5000,2000,esda
1.8471689224243164,5000,5000,sc
2263.4406175613403,5000,5000,esda
1.85776686668396,5000,5000,sc
2160.462817668915,5000,5000,esda
1.9791626930236816,5000,5000,sc
2193.032875061035,5000,5000,esda
1.7390997409820557,5000,5000,sc
2280.612748146057,5000,5000,esda
2.028927803039551,5000,5000,sc
2286.2488358020782,5000,5000,esda
1.7908141613006592,5000,5000,sc
2216.712882041931,5000,5000,esda
1.7733278274536133,5000,5000,sc
2322.1711809635162,5000,5000,esda
1.8374104499816895,5000,5000,sc
2312.4199697971344,5000,5000,esda
3.119222402572632,5000,10000,sc
5005.094614267349,5000,10000,esda
3.6631102561950684,5000,10000,sc
4632.533729314804,5000,10000,esda
3.0615453720092773,5000,10000,sc
4516.033710241318,5000,10000,esda
3.100552558898926,5000,10000,sc
4545.800740718842,5000,10000,esda
3.1092820167541504,5000,10000,sc
4592.559143066406,5000,10000,esda
3.102499485015869,5000,10000,sc
4594.421440124512,5000,10000,esda
3.1708476543426514,5000,10000,sc
4599.175650835037,5000,10000,esda
3.0930674076080322,5000,10000,sc
4614.2491545677185,5000,10000,esda
